epoch,step,train_loss,val_loss,train_mae,val_mae,train_rmse,val_rmse
0,0,0.0,573.0958251953125,0.0,573.5958251953125,0.0,654.8062744140625
0,88,315.5184020996094,328.7471618652344,316.0184020996094,329.24700927734375,0.0,407.8022766113281
1,176,306.2978210449219,326.7192077636719,306.7978210449219,327.2191162109375,413.2380065917969,403.22216796875
2,264,354.7703857421875,314.370361328125,355.2703857421875,314.870361328125,403.5467529296875,388.5800476074219
3,352,352.308349609375,312.0250549316406,352.808349609375,312.5244140625,395.5957336425781,384.4830017089844
4,440,331.4641418457031,307.7078857421875,331.9641418457031,308.2066955566406,391.35369873046875,376.91082763671875
5,528,270.4389953613281,303.6548767089844,270.9389953613281,304.1548767089844,382.5621337890625,375.1692810058594
6,616,331.1476135253906,297.3979797363281,331.6476135253906,297.8979797363281,378.3718566894531,365.049072265625
7,704,254.08779907226562,290.76483154296875,254.58779907226562,291.2646789550781,371.1658935546875,356.6119689941406
8,792,325.4639892578125,290.77825927734375,325.9639892578125,291.27825927734375,365.8046569824219,356.1493225097656
9,880,256.01220703125,285.38079833984375,256.51220703125,285.8804016113281,361.8481750488281,351.7015075683594
